source|dest
product39|product64
product77|product15
product94|product21
product45|product69
product50|product21
product59|product65
product0|product69
product0|product21
product63|product15
product44|product65
product11|product64
product46|product69
product96|product21
product29|product69
product8|product21
product47|product65
product98|product15
product68|product64
product71|product64
product93|product77
product58|product47
product84|product59
product89|product68
product41|product50
product41|product44
product18|product44
product81|product77
product24|product77
product24|product63
product24|product0
product95|product50
product95|product8
product78|product39
product78|product50
product37|product47
product37|product0
product52|product59
product52|product29
product92|product96
product82|product77
product26|product39
product35|product29
product73|product77
product73|product47
product31|product39
product31|product71
product66|product98
product66|product59
product9|product94
product9|product68
product22|product50
product22|product96
product49|product50
product49|product71
product32|product29
product75|product29
product14|product77
product90|product8
product2|product59
product13|product68
product19|product94
product70|product71
product38|product71
product33|product94
product33|product98
product34|product50
product34|product44
product34|product96
product10|product44
product76|product68
product76|product46
product48|product11
product54|product45
product7|product59
product97|product29
product42|product63
product42|product96
product42|product68
product28|product29
product55|product98
product72|product44
product87|product63
product6|product47
product60|product68
product74|product50
product74|product59
product16|product39
product43|product94
product3|product63
product51|product29
product17|product77
product17|product29
product83|product59
product30|product66
product30|product84
product30|product82
product30|product49
product30|product81
product30|product3
product30|product55
product30|product97
product30|product42
product30|product28
product30|product10
product12|product58
product12|product89
product12|product41
product12|product54
product12|product19
product12|product60
product12|product52
product12|product43
product12|product7
product12|product3
product12|product33
product12|product82
product12|product28
product12|product35
product80|product66
product80|product9
product80|product75
product80|product87
product80|product48
product80|product2
product80|product70
product80|product51
product80|product42
product80|product55
product80|product26
product80|product72
product80|product31
product23|product66
product23|product89
product23|product87
product23|product60
product23|product37
product23|product35
product23|product43
product23|product3
product23|product92
product23|product72
product23|product73
product61|product78
product61|product32
product61|product49
product61|product70
product61|product83
product61|product26
product61|product73
product20|product76
product20|product89
product20|product75
product20|product48
product20|product78
product20|product52
product20|product92
product20|product28
product20|product35
product62|product74
product62|product52
product62|product16
product62|product18
product62|product10
product79|product16
product79|product51
product79|product34
product79|product28
product79|product48
product79|product13
product56|product93
product56|product58
product56|product81
product56|product70
product56|product19
product56|product74
product56|product16
product56|product51
product56|product92
product4|product58
product4|product78
product4|product51
product4|product49
product4|product24
product4|product48
product4|product35
product4|product73
product86|product76
product86|product73
product86|product14
product86|product6
product86|product48
product86|product81
product86|product78
product86|product28
product86|product10
product1|product74
product1|product76
product1|product32
product1|product54
product1|product34
product1|product73
product1|product24
product1|product31
product25|product84
product25|product87
product25|product81
product25|product48
product25|product70
product25|product95
product25|product43
product25|product82
product25|product83
product25|product35
product25|product73
product85|product93
product85|product84
product85|product76
product85|product89
product85|product49
product85|product60
product85|product37
product85|product38
product85|product16
product85|product51
product85|product3
product85|product28
product85|product72
product85|product31
product36|product66
product36|product28
product36|product32
product36|product90
product36|product87
product36|product13
product36|product16
product36|product43
product36|product3
product36|product92
product36|product73
product36|product35
product36|product10
product99|product58
product99|product89
product99|product22
product99|product48
product99|product81
product99|product60
product99|product16
product99|product51
product99|product92
product99|product83
product91|product84
product91|product9
product91|product82
product91|product24
product91|product60
product91|product3
product91|product97
product91|product83
product91|product34
product91|product55
product91|product10
product88|product93
product88|product66
product88|product49
product88|product3
product88|product92
product88|product83
product88|product72
product88|product31
product57|product93
product57|product89
product57|product49
product57|product17
product57|product13
product57|product24
product57|product52
product57|product33
product57|product42
product57|product55
product57|product26
product57|product72
product57|product31
product27|product93
product27|product76
product27|product32
product27|product87
product27|product2
product27|product70
product27|product37
product27|product52
product27|product38
product27|product43
product27|product92
product27|product82
product27|product26
product27|product72
product67|product16
product67|product54
product67|product49
product67|product92
product67|product83
product67|product81
product67|product35
product53|product58
product53|product78
product53|product84
product53|product76
product53|product33
product53|product42
product53|product48
product53|product35
product40|product93
product40|product58
product40|product49
product40|product24
product40|product70
product40|product54
product40|product37
product40|product51
product40|product3
product40|product26
product40|product31
product5|product93
product5|product16
product5|product72
product5|product90
product5|product43
product5|product18
product5|product13
product5|product31
