product|prod_func
company0-product65|ExoDemand[657+41.06sin(0.0535*t)]
company0-product32|ExoDemand[213+30.43sin(0.0237*t)]
company0-product15|ExoDemand[966+241.50sin(0.0284*t)]
company0-product64|ExoDemand[931+93.10sin(0.0662*t)]
company0-product97|ExoDemand[442+34.00sin(0.0971*t)]
company1-product82|ExoDemand[613+76.62sin(0.0793*t)]
company1-product35|ExoDemand[546+36.40sin(0.0417*t)]
company1-product45|ExoDemand[999+166.50sin(0.0358*t)]
company1-product11|ExoDemand[653+108.83sin(0.0793*t)]
company1-product33|ExoDemand[985+123.12sin(0.0303*t)]
company1-product15|ExoDemand[735+147.00sin(0.0448*t)]
company1-product60|ExoDemand[259+28.78sin(0.0665*t)]
company1-product51|ExoDemand[895+298.33sin(0.0454*t)]
company2-product75|ExoDemand[694+231.33sin(0.0695*t)]
company3-product21|ExoDemand[105+8.75sin(0.0773*t)]
company3-product68|ExoDemand[174+24.86sin(0.0755*t)]
company3-product59|ExoDemand[206+25.75sin(0.0954*t)]
company3-product96|ExoDemand[280+93.33sin(0.0830*t)]
company3-product94|ExoDemand[582+64.67sin(0.0493*t)]
company4-product6|ExoDemand[181+12.07sin(0.0120*t)]
company4-product65|ExoDemand[691+46.07sin(0.0958*t)]
company4-product47|ExoDemand[733+73.30sin(0.0624*t)]
company5-product14|ExoDemand[537+33.56sin(0.0942*t)]
company5-product47|ExoDemand[709+35.45sin(0.0370*t)]
company6-product76|ExoDemand[591+31.11sin(0.0540*t)]
company6-product87|ExoDemand[451+23.74sin(0.0784*t)]
company6-product83|ExoDemand[182+11.38sin(0.0477*t)]
company6-product15|ExoDemand[750+93.75sin(0.0366*t)]
company6-product10|ExoDemand[274+18.27sin(0.0608*t)]
company7-product87|ExoDemand[615+51.25sin(0.0276*t)]
company7-product81|ExoDemand[701+87.62sin(0.0666*t)]
company8-product17|ExoDemand[494+32.93sin(0.0247*t)]
company9-product45|ExoDemand[352+23.47sin(0.0521*t)]
company9-product11|ExoDemand[764+47.75sin(0.0778*t)]
company9-product95|ExoDemand[352+22.00sin(0.0927*t)]
company9-product54|ExoDemand[637+53.08sin(0.0644*t)]
company9-product96|ExoDemand[365+73.00sin(0.0799*t)]
company9-product28|ExoDemand[319+21.27sin(0.0176*t)]
company9-product21|ExoDemand[899+49.94sin(0.0855*t)]
company10-product35|ExoDemand[198+49.50sin(0.0255*t)]
company11-product69|ExoDemand[853+284.33sin(0.0721*t)]
company11-product82|ExoDemand[951+95.10sin(0.0278*t)]
company11-product68|ExoDemand[189+13.50sin(0.0809*t)]
company11-product35|ExoDemand[426+32.77sin(0.0826*t)]
company11-product32|ExoDemand[748+62.33sin(0.0790*t)]
company11-product15|ExoDemand[524+87.33sin(0.0679*t)]
company11-product44|ExoDemand[387+25.80sin(0.0204*t)]
company11-product46|ExoDemand[503+83.83sin(0.0723*t)]
company11-product7|ExoDemand[670+167.50sin(0.0929*t)]
company11-product87|ExoDemand[412+25.75sin(0.0245*t)]
company12-product38|ExoDemand[146+7.30sin(0.0951*t)]
company13-product65|ExoDemand[935+233.75sin(0.0295*t)]
company13-product3|ExoDemand[820+54.67sin(0.0951*t)]
company13-product64|ExoDemand[788+41.47sin(0.0417*t)]
company14-product15|ExoDemand[194+32.33sin(0.0298*t)]
company15-product71|ExoDemand[498+71.14sin(0.0626*t)]
company16-product81|ExoDemand[467+46.70sin(0.0501*t)]
company16-product21|ExoDemand[356+29.67sin(0.0621*t)]
company16-product90|ExoDemand[630+57.27sin(0.0135*t)]
company16-product14|ExoDemand[316+63.20sin(0.0104*t)]
company16-product83|ExoDemand[325+18.06sin(0.0310*t)]
company17-product11|ExoDemand[719+55.31sin(0.0702*t)]
company17-product28|ExoDemand[178+12.71sin(0.0989*t)]
company17-product21|ExoDemand[770+59.23sin(0.0517*t)]
company18-product68|ExoDemand[978+81.50sin(0.0201*t)]
company19-product58|ExoDemand[611+50.92sin(0.0928*t)]
company19-product81|ExoDemand[259+51.80sin(0.0777*t)]
company19-product28|ExoDemand[312+156.00sin(0.0628*t)]
company19-product21|ExoDemand[839+69.92sin(0.0904*t)]
