ts,source,target,product,weight
2,23,6,119,18.0
2,5,17,122,80.0
2,4,43,121,74.0
2,23,19,122,56.0
2,19,43,122,74.0
2,0,26,122,12.0
2,19,5,122,92.0
2,4,5,119,184.0
2,16,47,122,28.0
2,0,23,119,24.0
2,23,33,121,108.0
2,16,4,119,22.0
2,23,22,121,32.0
2,4,26,121,48.0
2,0,22,119,24.0
2,3,5,121,92.0
2,23,17,119,42.0
2,5,4,122,88.0
2,23,47,121,112.0
2,23,26,119,36.0
2,16,22,122,8.0
2,3,17,121,122.0
2,23,23,122,96.0
2,23,6,121,24.0
2,19,6,122,6.0
2,23,43,119,16.0
2,23,33,119,216.0
2,0,47,119,84.0
2,4,33,122,108.0
2,4,19,119,14.0
3,4,23,119,16.0
3,23,33,121,84.0
3,23,29,121,26.0
3,5,26,122,3.0
3,16,4,119,14.0
3,23,6,121,12.0
3,43,64,127,14.0
3,4,5,119,96.0
3,23,0,122,24.0
3,0,17,122,78.0
3,23,22,122,12.0
3,23,40,130,2.0
3,23,33,122,84.0
3,4,26,130,14.0
3,16,5,122,48.0
3,0,10,119,12.0
3,19,64,130,14.0
3,23,5,121,48.0
3,19,43,122,88.0
3,23,43,119,104.0
3,23,29,130,4.0
3,16,47,122,30.0
3,23,23,122,64.0
3,47,64,131,14.0
3,3,17,121,78.0
3,23,26,119,9.0
3,23,43,121,88.0
3,5,60,132,2.0
3,23,67,130,8.0
3,26,33,131,9.0
3,17,40,127,2.0
3,33,26,132,28.0
3,17,26,131,14.0
3,3,22,121,48.0
3,47,60,131,3.0
3,33,33,132,6.0
3,33,47,132,14.0
3,5,67,132,16.0
3,47,47,131,9.0
3,3,47,121,120.0
3,23,29,119,6.0
3,23,33,130,6.0
3,33,63,132,2.0
3,4,47,130,8.0
3,43,29,132,4.0
3,5,64,132,28.0
3,23,60,130,2.0
3,0,22,119,36.0
3,22,67,131,8.0
3,5,4,122,56.0
3,23,0,119,6.0
3,47,40,131,2.0
3,23,33,119,168.0
3,23,29,122,20.0
3,43,67,127,8.0
3,23,47,119,90.0
3,33,40,132,4.0
3,13,6,122,3.0
3,23,63,130,2.0
3,17,47,127,6.0
3,17,26,127,14.0
3,0,26,121,12.0
3,6,29,131,6.0
3,10,10,122,48.0
3,4,6,119,9.0
3,26,63,131,3.0
4,10,40,130,12.0
4,20,32,123,280.0
4,4,4,119,86.0
4,18,25,123,2800.0
4,23,0,122,196.0
4,4,0,119,49.0
4,23,8,121,564.0
4,33,26,132,4.0
4,23,37,121,456.0
4,16,10,122,432.0
4,4,26,122,11.0
4,23,39,120,360.0
4,23,14,119,96.0
4,23,33,122,56.0
4,23,7,120,152.0
4,23,33,121,56.0
4,4,8,120,564.0
4,4,35,120,57.0
4,23,67,130,12.0
4,19,43,122,52.0
4,4,47,130,12.0
4,23,7,121,152.0
4,23,3,121,511.0
4,4,13,119,56.0
4,0,33,119,112.0
4,16,23,119,369.0
4,17,47,127,12.0
4,33,64,132,12.0
4,0,44,119,36.0
4,43,67,127,22.0
4,23,11,119,144.0
4,4,40,119,384.0
4,47,40,131,12.0
4,5,67,132,24.0
4,23,25,120,2695.0
4,23,13,122,28.0
4,3,17,121,1110.0
4,23,5,119,80.0
4,17,26,127,2.0
4,16,39,119,936.0
4,4,23,121,72.0
4,4,32,119,210.0
4,43,29,132,2.0
4,23,46,119,432.0
4,29,26,131,2.0
4,23,43,119,8.0
4,23,29,130,2.0
4,33,40,132,24.0
4,14,39,123,864.0
4,3,5,121,40.0
4,3,2,121,2664.0
4,22,67,131,12.0
4,4,2,120,2664.0
4,4,45,121,1632.0
4,47,47,131,12.0
4,3,22,121,40.0
4,3,1,121,168.0
4,15,11,123,96.0
4,47,64,131,6.0
4,23,17,122,309.0
4,0,22,119,30.0
4,33,33,132,2.0
4,3,1,120,168.0
4,16,6,119,129.0
4,43,64,127,6.0
4,3,37,120,456.0
4,4,5,122,40.0
4,16,40,122,128.0
4,23,47,121,416.0
4,26,33,131,3.0
4,23,40,121,512.0
4,23,25,121,595.0
4,16,47,122,104.0
4,23,43,121,52.0
4,4,27,120,365.0
4,23,25,119,2100.0
4,4,26,121,44.0
4,16,35,119,57.0
4,29,64,127,6.0
4,14,14,123,128.0
4,5,4,122,344.0
4,23,45,120,1632.0
4,23,47,119,312.0
4,23,3,120,511.0
4,4,22,122,10.0
4,23,33,130,2.0
4,23,26,119,33.0
4,23,17,119,801.0
4,4,26,130,2.0
4,3,6,121,172.0
4,23,23,120,72.0
4,23,36,122,12.0
4,20,46,123,288.0
4,23,23,122,1188.0
4,3,13,121,28.0
4,0,64,130,6.0
4,17,40,127,12.0
4,4,16,119,544.0
4,23,44,122,144.0
4,23,27,121,365.0
4,23,36,119,24.0
4,23,36,121,12.0
4,3,32,120,210.0
4,4,31,122,144.0
4,23,14,120,96.0
4,4,31,119,108.0
4,23,16,122,2176.0
4,14,35,123,76.0
4,6,29,131,3.0
4,0,10,119,108.0
4,20,31,123,48.0
4,19,6,122,43.0
5,4,0,119,3650.0
5,4,8,120,49832.0
5,26,26,131,2.0
5,3,2,121,33636.0
5,3,17,121,21482.0
5,4,26,130,2.0
5,25,35,133,235.0
5,23,14,120,1371.0
5,23,60,130,6.0
5,23,8,121,49832.0
5,4,47,130,8.0
5,25,62,124,88.0
5,23,29,119,9288.0
5,23,33,122,144.0
5,3,22,121,36660.0
5,14,39,123,3180.0
5,3,27,133,4.0
5,23,37,121,20117.0
5,3,49,133,150.0
5,31,70,128,36.0
5,2,38,126,6.0
5,25,70,124,77.0
5,23,12,121,36324.0
5,16,23,119,13493.0
